Country name,Year,GDP,biofuel_share_energy,coal_consumption,electricity_demand,energy_per_capita,fossil_fuel_consumption,greenhouse_gas_emissions,nuclear_consumption,oil_consumption,renewables_consumption,PopDensity,Death rate,Child mortality rate,Fertility rate: children per woman,Age Median,Population,Pop<15,Pop100+,Life ExpectancyM,Life ExpectancyF,Birth rate
Austria,2009,3.31192E+11,1.5,33.461,67.08,48765.184,267.23,13.22,0,145.45,139.615,101.1032,9.28,0.45993,1.3987,40.4,8342939,1253168,945,77.4,82.9,9.155
Taiwan,2001,5.80536E+11,0,342.998,184.45,47058.73,931.724,107.8,100.039,515.832,19.206,630.7011,5.702,0.7559,1.3925,31.1,22333124,4668659,517,73.7,79.8,11.604
Japan,1967,1.14941E+12,,663.195,,22703.48,2100.549,,1.785,1417.968,202.702,269.4304,6.928,2.14371,2.1744,27.3,101527860,24361206,512,68.8,74,19.096
Brunei,1955,,,,,,,,,,,11.1479,15.342,15.1925,6.9236,18.5,64283,26846,0,52.8,54.2,46.511
Djibouti,2020,,,,0.58,2701.791,,0.04,,,,47.03,8.821,5.613,2.8484,23.5,1090162,340031,2,60.1,65.5,22.477
North Korea,1950,,,,,,,,,,,92.2131,75.247,47.05039,4.9937,16.3,11103386,4935266,5,11.1,20.6,40.304
Belarus,2004,1.14486E+11,0,7.226,32.58,28508.881,284.983,14.65,0,92.413,0.098,49.2815,14.57,0.94379,1.2463,36.7,9999713,1586006,283,63.6,75.5,9.439
Belize,1997,,,,,10178.639,,,,,,9.5185,5.631,2.64354,3.8541,17.7,217127,90286,4,67.2,71.4,31.787
Kazakhstan,1996,1.24226E+11,,283.743,,32284.078,499.274,,0.251,120.907,21.678,5.98,9.987,5.17359,2.0968,25.4,16144248,4932461,73,58.2,69.3,17.089
Nepal,1958,9358283776,,,,,,,,,,66.6188,25.218,33.14615,6.002,18.4,9805028,4014286,1,38,38.3,45.202
Brazil,2004,2.03657E+12,3.224,156.657,418.56,13593.7,1433.446,35.93,32.107,1083.564,1045.503,22.1009,6.258,2.65274,2.0023,25.7,184722050,51052132,757,67.5,74.9,17.632
